Initial_T,Final_T,Heating_rate,Ret_time
40.0,280.0,10.0,0.0
40.0,280.0,10.0,3.0
40.0,280.0,20.0,3.0
40.0,280.0,30.0,3.0
60.0,280.0,10.0,0.0
60.0,280.0,20.0,0.0
60.0,280.0,30.0,0.0
60.0,280.0,10.0,1.0
60.0,280.0,20.0,1.0
60.0,280.0,30.0,1.0
60.0,280.0,10.0,2.0
40.0,280.0,20.0,0.0
60.0,280.0,20.0,2.0
60.0,280.0,30.0,2.0
60.0,280.0,10.0,3.0
60.0,280.0,20.0,3.0
60.0,280.0,30.0,3.0
80.0,280.0,10.0,0.0
80.0,280.0,20.0,0.0
80.0,280.0,30.0,0.0
80.0,280.0,10.0,1.0
80.0,280.0,20.0,1.0
40.0,280.0,30.0,0.0
80.0,280.0,30.0,1.0
80.0,280.0,10.0,2.0
80.0,280.0,20.0,2.0
80.0,280.0,30.0,2.0
80.0,280.0,10.0,3.0
80.0,280.0,20.0,3.0
80.0,280.0,30.0,3.0
40.0,280.0,10.0,1.0
40.0,280.0,20.0,1.0
40.0,280.0,30.0,1.0
40.0,280.0,10.0,2.0
40.0,280.0,20.0,2.0
40.0,280.0,30.0,2.0
40.0,250.0,10.0,0.0
60.0,270.0,10.0,0.0
60.0,260.0,10.0,1.0
60.0,250.0,10.0,2.0
60.0,240.0,10.0,3.0
80.0,270.0,10.0,2.0
80.0,260.0,10.0,3.0
40.0,240.0,10.0,1.0
40.0,230.0,10.0,2.0
40.0,180.0,10.0,0.0
40.0,260.0,20.0,3.0
60.0,200.0,10.0,0.0
60.0,190.0,10.0,1.0
40.0,170.0,10.0,1.0
40.0,160.0,10.0,2.0
60.0,300.0,20.0,18.0
60.0,300.0,15.0,14.0
60.0,300.0,10.0,6.0
60.0,300.0,8.0,0.0
40.0,210.0,10.0,0.0
40.0,320.0,20.0,3.0
60.0,230.0,10.0,0.0
60.0,220.0,10.0,1.0
60.0,210.0,10.0,2.0
60.0,200.0,10.0,3.0
80.0,250.0,10.0,0.0
80.0,240.0,10.0,1.0
80.0,230.0,10.0,2.0
80.0,220.0,10.0,3.0
40.0,200.0,10.0,1.0
40.0,190.0,10.0,2.0
40.0,140.0,10.0,0.0
40.0,180.0,20.0,3.0
40.0,250.0,30.0,3.0
60.0,160.0,10.0,0.0
60.0,260.0,20.0,0.0
60.0,150.0,10.0,1.0
60.0,240.0,20.0,1.0
60.0,140.0,10.0,2.0
40.0,240.0,20.0,0.0
60.0,220.0,20.0,2.0
60.0,300.0,30.0,2.0
60.0,130.0,10.0,3.0
60.0,200.0,20.0,3.0
60.0,270.0,30.0,3.0
80.0,180.0,10.0,0.0
80.0,170.0,10.0,1.0
80.0,260.0,20.0,1.0
80.0,160.0,10.0,2.0
80.0,240.0,20.0,2.0
80.0,320.0,30.0,2.0
80.0,150.0,10.0,3.0
80.0,220.0,20.0,3.0
80.0,290.0,30.0,3.0
40.0,130.0,10.0,1.0
40.0,220.0,20.0,1.0
40.0,120.0,10.0,2.0
40.0,200.0,20.0,2.0
100.0,300.0,8.0,5.0
40.0,150.0,10.0,0.0
40.0,200.0,20.0,3.0
60.0,170.0,10.0,0.0
60.0,160.0,10.0,1.0
60.0,260.0,20.0,1.0
60.0,150.0,10.0,2.0
40.0,260.0,20.0,0.0
60.0,240.0,20.0,2.0
60.0,330.0,30.0,2.0
60.0,140.0,10.0,3.0
60.0,220.0,20.0,3.0
60.0,300.0,30.0,3.0
80.0,190.0,10.0,0.0
80.0,180.0,10.0,1.0
80.0,170.0,10.0,2.0
80.0,260.0,20.0,2.0
80.0,160.0,10.0,3.0
80.0,240.0,20.0,3.0
80.0,320.0,30.0,3.0
40.0,140.0,10.0,1.0
40.0,240.0,20.0,1.0
40.0,130.0,10.0,2.0
40.0,220.0,20.0,2.0
40.0,310.0,30.0,2.0
60.0,180.0,10.0,2.0
60.0,300.0,20.0,2.0
60.0,170.0,10.0,3.0
80.0,220.0,10.0,0.0
80.0,210.0,10.0,1.0
80.0,200.0,10.0,2.0
80.0,190.0,10.0,3.0
80.0,300.0,20.0,3.0
60.0,280.0,22.0,0.0
80.0,280.0,22.0,0.0
40.0,280.0,24.0,0.0
40.0,120.0,10.0,0.0
40.0,140.0,20.0,3.0
40.0,190.0,30.0,3.0
60.0,140.0,10.0,0.0
60.0,220.0,20.0,0.0
60.0,130.0,10.0,1.0
60.0,200.0,20.0,1.0
60.0,270.0,30.0,1.0
60.0,120.0,10.0,2.0
40.0,200.0,20.0,0.0
60.0,180.0,20.0,2.0
60.0,240.0,30.0,2.0
60.0,110.0,10.0,3.0
60.0,160.0,20.0,3.0
60.0,210.0,30.0,3.0
80.0,160.0,10.0,0.0
80.0,240.0,20.0,0.0
80.0,150.0,10.0,1.0
80.0,220.0,20.0,1.0
80.0,290.0,30.0,1.0
80.0,140.0,10.0,2.0
80.0,200.0,20.0,2.0
80.0,260.0,30.0,2.0
80.0,130.0,10.0,3.0
80.0,180.0,20.0,3.0
80.0,230.0,30.0,3.0
40.0,110.0,10.0,1.0
40.0,180.0,20.0,1.0
40.0,250.0,30.0,1.0
40.0,100.0,10.0,2.0
40.0,160.0,20.0,2.0
40.0,220.0,30.0,2.0
40.0,200.0,10.0,0.0
40.0,300.0,20.0,3.0
60.0,220.0,10.0,0.0
60.0,210.0,10.0,1.0
60.0,200.0,10.0,2.0
60.0,190.0,10.0,3.0
60.0,320.0,20.0,3.0
80.0,240.0,10.0,0.0
80.0,230.0,10.0,1.0
80.0,220.0,10.0,2.0
80.0,210.0,10.0,3.0
40.0,190.0,10.0,1.0
40.0,180.0,10.0,2.0
40.0,240.0,10.0,0.0
60.0,260.0,10.0,0.0
60.0,250.0,10.0,1.0
60.0,240.0,10.0,2.0
60.0,230.0,10.0,3.0
80.0,270.0,10.0,1.0
80.0,260.0,10.0,2.0
80.0,250.0,10.0,3.0
40.0,230.0,10.0,1.0
40.0,220.0,10.0,2.0
40.0,220.0,10.0,0.0
60.0,240.0,10.0,0.0
60.0,230.0,10.0,1.0
60.0,220.0,10.0,2.0
60.0,210.0,10.0,3.0
80.0,260.0,10.0,0.0
80.0,250.0,10.0,1.0
80.0,240.0,10.0,2.0
80.0,230.0,10.0,3.0
40.0,210.0,10.0,1.0
40.0,200.0,10.0,2.0
60.0,280.0,21.0,0.0
80.0,280.0,21.0,0.0
40.0,280.0,22.0,0.0
40.0,100.0,10.0,0.0
40.0,100.0,20.0,3.0
40.0,130.0,30.0,3.0
60.0,120.0,10.0,0.0
60.0,180.0,20.0,0.0
60.0,240.0,30.0,0.0
60.0,110.0,10.0,1.0
60.0,160.0,20.0,1.0
60.0,210.0,30.0,1.0
60.0,100.0,10.0,2.0
40.0,160.0,20.0,0.0
60.0,140.0,20.0,2.0
60.0,180.0,30.0,2.0
60.0,90.0,10.0,3.0
60.0,120.0,20.0,3.0
60.0,150.0,30.0,3.0
80.0,140.0,10.0,0.0
80.0,200.0,20.0,0.0
80.0,260.0,30.0,0.0
80.0,130.0,10.0,1.0
80.0,180.0,20.0,1.0
40.0,220.0,30.0,0.0
80.0,230.0,30.0,1.0
80.0,120.0,10.0,2.0
80.0,160.0,20.0,2.0
80.0,200.0,30.0,2.0
80.0,110.0,10.0,3.0
80.0,140.0,20.0,3.0
80.0,170.0,30.0,3.0
40.0,90.0,10.0,1.0
40.0,140.0,20.0,1.0
40.0,190.0,30.0,1.0
40.0,80.0,10.0,2.0
40.0,120.0,20.0,2.0
40.0,160.0,30.0,2.0
40.0,260.0,10.0,0.0
60.0,270.0,10.0,1.0
60.0,260.0,10.0,2.0
60.0,250.0,10.0,3.0
40.0,280.0,21.0,0.0
80.0,280.0,21.0,1.0
80.0,270.0,10.0,3.0
40.0,250.0,10.0,1.0
40.0,280.0,22.0,1.0
40.0,240.0,10.0,2.0
